  
       XFOIL         Version 6.99
  
 Calculated polar for: E423                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -14.800   0.0000   0.16285   0.14123  -0.0838   0.9636   0.0256   4.5748  97.0590
 -14.700   0.0058   0.16153   0.14001  -0.0849   0.9625   0.0257   4.6646  97.1000
 -14.600   0.0115   0.16025   0.13875  -0.0861   0.9617   0.0259   4.7406  97.1479
 -14.500   0.0172   0.15898   0.13744  -0.0874   0.9609   0.0261   4.8088  97.2020
 -14.400   0.0229   0.15770   0.13610  -0.0886   0.9602   0.0263   4.8691  97.2617
 -14.300   0.0288   0.15640   0.13472  -0.0900   0.9596   0.0265   4.9232  97.3266
 -14.200   0.0347   0.15508   0.13330  -0.0913   0.9590   0.0267   4.9719  97.3965
 -14.000   0.0409   0.15281   0.13102  -0.0922   0.9520   0.0271   5.5658  97.5266
 -13.900   0.0462   0.15151   0.12963  -0.0934   0.9508   0.0274   5.6741  97.6047
 -13.800   0.0517   0.15018   0.12819  -0.0946   0.9497   0.0277   5.7627  97.6861
 -13.700   0.0572   0.14882   0.12671  -0.0959   0.9488   0.0280   5.8380  97.7687
 -13.600   0.0629   0.14745   0.12517  -0.0973   0.9480   0.0282   5.9040  97.8466
 -13.500   0.0683   0.14608   0.12354  -0.0988   0.9473   0.0284   5.9629  97.9137
 -13.300   0.0713   0.14421   0.12088  -0.1000   0.9396   0.0287   6.5764  97.9896
 -13.200   0.0769   0.14270   0.11952  -0.1012   0.9382   0.0288   6.6915  98.0186
 -13.100   0.0844   0.14101   0.11833  -0.1021   0.9370   0.0290   6.7879  98.0653
 -13.000   0.0914   0.13952   0.11710  -0.1033   0.9359   0.0292   6.8704  98.1284
 -12.900   0.0983   0.13808   0.11578  -0.1045   0.9350   0.0295   6.9422  98.2040
 -12.700   0.1058   0.13582   0.11365  -0.1054   0.9274   0.0300   7.5099  98.3495
 -12.600   0.1115   0.13447   0.11231  -0.1065   0.9256   0.0303   7.6439  98.4332
 -12.500   0.1175   0.13306   0.11091  -0.1077   0.9241   0.0306   7.7534  98.5161
 -12.400   0.1237   0.13163   0.10946  -0.1089   0.9228   0.0309   7.8461  98.5969
 -12.300   0.1300   0.13017   0.10799  -0.1102   0.9217   0.0311   7.9269  98.6797
 -12.200   0.1363   0.12869   0.10648  -0.1116   0.9207   0.0314   7.9983  98.7635
 -12.000   0.1431   0.12639   0.10404  -0.1127   0.9125   0.0319   8.5541  98.8900
 -11.900   0.1485   0.12500   0.10246  -0.1141   0.9107   0.0321   8.6766  98.9386
 -11.800   0.1539   0.12364   0.10083  -0.1158   0.9093   0.0322   8.7766  98.9705
 -11.700   0.1593   0.12233   0.09919  -0.1176   0.9080   0.0323   8.8599  98.9915
 -11.600   0.1669   0.12062   0.09767  -0.1192   0.9069   0.0323   8.9338  99.0141
 -11.500   0.1764   0.11873   0.09637  -0.1204   0.9055   0.0325   9.0277  99.0547
 -11.400   0.1819   0.11743   0.09538  -0.1209   0.9009   0.0327   9.3192  99.0991
